State,Brand,Unit,Price
New Hampshire,Chick-fil-A,12,5.38
New Hampshire,McDonald's,4,2.41
New Hampshire,McDonald's,10,5.43
New Hampshire,McDonald's,20,6.05
New Hampshire,McDonald's,40,10.88
New Jersey,Burger King,4,1.55
New Jersey,Burger King,10,3.89
New Jersey,Burger King,20,6.49
New Jersey,Chick-fil-A,8,3.96
New Jersey,Chick-fil-A,12,5.79
New Jersey,McDonald's,4,2.59
New Jersey,McDonald's,10,5.84
New Jersey,McDonald's,20,6.5
New Jersey,McDonald's,40,11.69
New Mexico,Burger King,4,1.29
New Mexico,Burger King,10,3.23
New Mexico,Burger King,20,5.39
New Mexico,Chick-fil-A,8,3.29
New Mexico,Chick-fil-A,12,4.81
New Mexico,McDonald's,4,2.15
New Mexico,McDonald's,10,4.85
New Mexico,McDonald's,20,5.4
New Mexico,McDonald's,40,9.71
New York,Burger King,4,1.56
New York,Burger King,10,3.92
New York,Burger King,20,6.54
New York,Chick-fil-A,8,4
New York,Chick-fil-A,12,5.83
New York,McDonald's,4,2.61
New York,McDonald's,10,5.88
New York,McDonald's,20,6.55
New York,McDonald's,40,11.78
North Carolina,Burger King,4,1.24
North Carolina,Burger King,10,3.11
North Carolina,Burger King,20,5.19
North Carolina,Chick-fil-A,8,3.17
North Carolina,Chick-fil-A,12,4.63
North Carolina,McDonald's,4,2.07
North Carolina,McDonald's,10,4.67
North Carolina,McDonald's,20,5.2
North Carolina,McDonald's,40,9.35
North Dakota,Burger King,4,1.23
North Dakota,Burger King,10,3.08
North Dakota,Burger King,20,5.14
North Dakota,Chick-fil-A,8,3.14
North Dakota,Chick-fil-A,12,4.58
North Dakota,McDonald's,4,2.05
North Dakota,McDonald's,10,4.62
North Dakota,McDonald's,20,5.15
North Dakota,McDonald's,40,9.26
Ohio,Burger King,4,1.2
Ohio,Burger King,10,3.02
Ohio,Burger King,20,5.04
Ohio,Chick-fil-A,8,3.08
Ohio,Chick-fil-A,12,4.49
Ohio,McDonald's,4,2.01
Ohio,McDonald's,10,4.53
Ohio,McDonald's,20,5.05
Ohio,McDonald's,40,9.08
Oklahoma,Burger King,4,1.21
Oklahoma,Burger King,10,3.05
Oklahoma,Burger King,20,5.09
Oklahoma,Chick-fil-A,8,3.11
Oklahoma,Chick-fil-A,12,4.54
Oklahoma,McDonald's,4,2.03
Oklahoma,McDonald's,10,4.58
Oklahoma,McDonald's,20,5.1
Oklahoma,McDonald's,40,9.17
Oregon,Burger King,4,1.33
Oregon,Burger King,10,3.35
Oregon,Burger King,20,5.59
Oregon,Chick-fil-A,8,3.42
Oregon,Chick-fil-A,12,4.98
Oregon,McDonald's,4,2.23
Oregon,McDonald's,10,5.03
Oregon,McDonald's,20,5.6
Oregon,McDonald's,40,10.07
Pennsylvania,Burger King,4,1.33
Pennsylvania,Burger King,10,3.35
Pennsylvania,Burger King,20,5.59
Pennsylvania,Chick-fil-A,8,3.42
Pennsylvania,Chick-fil-A,12,4.98
Pennsylvania,McDonald's,4,2.23
Pennsylvania,McDonald's,10,5.03
Pennsylvania,McDonald's,20,5.6
Pennsylvania,McDonald's,40,10.07
Rhode Island,Burger King,4,1.33
Rhode Island,Burger King,10,3.35
Rhode Island,Burger King,20,5.59
Rhode Island,Chick-fil-A,8,3.42
Rhode Island,Chick-fil-A,12,4.98
Rhode Island,McDonald's,4,2.23
Rhode Island,McDonald's,10,5.03
Rhode Island,McDonald's,20,5.6
Rhode Island,McDonald's,40,10.07
South Carolina,Burger King,4,1.23
South Carolina,Burger King,10,3.08
South Carolina,Burger King,20,5.14
South Carolina,Chick-fil-A,8,3.14
South Carolina,Chick-fil-A,12,4.58
South Carolina,McDonald's,4,2.05
South Carolina,McDonald's,10,4.62
South Carolina,McDonald's,20,5.15
South Carolina,McDonald's,40,9.26
South Dakota,Burger King,4,1.19
South Dakota,Burger King,10,2.99
South Dakota,Burger King,20,4.99
South Dakota,Chick-fil-A,8,3.05
South Dakota,Chick-fil-A,12,4.45
South Dakota,McDonald's,4,1.99
South Dakota,McDonald's,10,4.49
South Dakota,McDonald's,20,5
South Dakota,McDonald's,40,8.99
Tennessee,Burger King,4,1.23
Tennessee,Burger King,10,3.08
Tennessee,Burger King,20,5.14
Tennessee,Chick-fil-A,8,3.14
Tennessee,Chick-fil-A,12,4.58
Tennessee,McDonald's,4,2.05
Tennessee,McDonald's,10,4.62
Tennessee,McDonald's,20,5.15
Tennessee,McDonald's,40,9.26
Texas,Burger King,4,1.31
Texas,Burger King,10,3.29
Texas,Burger King,20,5.49
Texas,Chick-fil-A,8,3.35
Texas,Chick-fil-A,12,4.9
Texas,McDonald's,4,2.19
Texas,McDonald's,10,4.94
Texas,McDonald's,20,5.5
Texas,McDonald's,40,9.89
Utah,Burger King,4,1.31
Utah,Burger King,10,3.29
Utah,Burger King,20,5.49
Utah,Chick-fil-A,8,3.35
Utah,Chick-fil-A,12,4.9
Utah,McDonald's,4,2.19
Utah,McDonald's,10,4.94
Utah,McDonald's,20,5.5
Utah,McDonald's,40,9.89
Vermont,Burger King,4,1.37
Vermont,Burger King,10,3.44
Vermont,Burger King,20,5.74
Vermont,Chick-fil-A,8,3.51
Vermont,Chick-fil-A,12,5.12
Vermont,McDonald's,4,2.29
Vermont,McDonald's,10,5.16
Vermont,McDonald's,20,5.75
Vermont,McDonald's,40,10.34
Virginia,Burger King,4,1.39
Virginia,Burger King,10,3.5
Virginia,Burger King,20,5.84
Virginia,Chick-fil-A,8,3.57
Virginia,Chick-fil-A,12,5.2
Virginia,McDonald's,4,2.33
Virginia,McDonald's,10,5.25
Virginia,McDonald's,20,5.85
Virginia,McDonald's,40,10.52
Washington,Burger King,4,1.39
Washington,Burger King,10,3.5
Washington,Burger King,20,5.84
Washington,Chick-fil-A,8,3.57
Washington,Chick-fil-A,12,5.21
Washington,McDonald's,4,2.33
Washington,McDonald's,10,5.25
Washington,McDonald's,20,5.85
Washington,McDonald's,40,10.52
West Virginia,Burger King,4,1.2
West Virginia,Burger King,10,3.02
West Virginia,Burger King,20,5.04
West Virginia,Chick-fil-A,8,3.08
West Virginia,Chick-fil-A,12,4.49
West Virginia,McDonald's,4,2.01
West Virginia,McDonald's,10,4.53
West Virginia,McDonald's,20,5.05
West Virginia,McDonald's,40,9.08
Wisconsin,Burger King,4,1.25
Wisconsin,Burger King,10,3.14
Wisconsin,Burger King,20,5.24
Wisconsin,Chick-fil-A,8,3.2
Wisconsin,Chick-fil-A,12,4.67
Wisconsin,McDonald's,4,2.09
Wisconsin,McDonald's,10,4.71
Wisconsin,McDonald's,20,5.25
Wisconsin,McDonald's,40,9.44
Wyoming,Burger King,4,1.3
Wyoming,Burger King,10,3.26
Wyoming,Burger King,20,5.44
Wyoming,Chick-fil-A,8,3.31
Wyoming,Chick-fil-A,12,4.85
Wyoming,McDonald's,4,2.18
Wyoming,McDonald's,10,4.89
Wyoming,McDonald's,20,5.45
Wyoming,McDonald's,40,9.8
